City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Dunmore Town,BS,78.49,few clouds,25.5,-76.65,Coral Sands Hotel
5,Vitoria,BR,84.0,scattered clouds,-20.3194,-40.3378,Hotel Prata
6,Coahuayana,MX,73.4,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
7,Adeje,ES,75.2,scattered clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
16,Hyeres,FR,73.0,clear sky,43.1167,6.1167,Hôtel des Palmiers
18,Eirunepe,BR,76.23,overcast clouds,-6.6603,-69.8736,Atrás de você
19,Ugoofaaru,MV,85.05,few clouds,5.6667,73.0,Ungoofaaru Inn
20,Tabou,CI,85.23,light rain,4.423,-7.3528,hotêl doufoulougou
21,Rikitea,PF,77.67,broken clouds,-23.1203,-134.9692,Pension Maro'i
24,East London,ZA,77.0,clear sky,-33.0153,27.9116,Tu Casa
26,Bengkulu,ID,79.86,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
27,Itaborai,BR,77.0,few clouds,-22.7444,-42.8594,Promenade Prime Itaboraí
30,Lorengau,PG,80.71,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
33,Kavieng,PG,82.31,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
34,La Asuncion,VE,78.64,broken clouds,11.0333,-63.8628,Colinas de Matasiete
40,Butaritari,KI,82.26,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
47,Gasa,PS,86.0,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
49,Arraial Do Cabo,BR,77.0,few clouds,-22.9661,-42.0278,Pousada Porto Praia
50,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
51,Puerto Ayora,EC,75.7,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
53,Inhambane,MZ,84.2,few clouds,-23.865,35.3833,Oceano
56,Mitsamiouli,KM,82.78,light rain,-11.3847,43.2844,Foyer ADM
58,The Valley,AI,82.4,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
62,Tura,IN,82.13,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
63,Nan,TH,87.8,few clouds,18.8333,100.6667,สะเนียน2
64,Victoria,HK,75.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
66,Vaini,TO,75.2,light rain,-21.2,-175.2,Keleti Beach Resort
67,Caravelas,BR,84.25,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
77,Kota Tinggi,MY,84.2,broken clouds,1.7381,103.8999,Canopy Tribe
78,Nakasongola,UG,73.76,overcast clouds,1.3089,32.4564,Norena Hotel Nakasongola
79,Negombo,LK,87.8,scattered clouds,7.2083,79.8358,Hotel Sunset Beach
82,Umm Lajj,SA,82.85,clear sky,25.0213,37.2685,Moon light Furnished Units
85,Sao Joao Da Barra,BR,80.6,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
86,Souillac,MU,78.8,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
87,Martapura,ID,80.6,broken clouds,-3.4167,114.85,Montana Hotel Syariah
89,Gat,IL,86.0,clear sky,31.61,34.7642,OlusHome
90,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
104,Galesong,ID,80.6,few clouds,-5.3166,119.3661,Sapriadi Appy
106,Shache,CN,73.9,clear sky,38.4167,77.2406,Delong Hotel
112,Constantine,DZ,78.8,clear sky,36.365,6.6147,Grand Hotel Cirta
113,Isla Mujeres,MX,82.4,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
114,Avarua,CK,75.2,broken clouds,-21.2078,-159.775,Paradise Inn
115,Lasa,IT,75.2,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
116,Cape Town,ZA,75.99,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
117,Miguel Alves,BR,86.63,overcast clouds,-4.1656,-42.8953,PAIN POUSADA E RESTAURANTE
120,Port Alfred,ZA,78.48,overcast clouds,-33.5906,26.891,The Halyards Hotel
124,Atuona,PF,79.66,overcast clouds,-9.8,-139.0333,Villa Enata
125,Cap Malheureux,MU,78.01,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
127,Hermanus,ZA,75.99,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
129,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
131,Mae Sot,TH,78.01,moderate rain,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
134,Nijar,ES,75.2,scattered clouds,36.9665,-2.206,La Casa del Cine
135,Kiunga,PG,72.18,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
138,Kapaa,US,73.4,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
139,Keti Bandar,PK,85.64,clear sky,24.1447,67.4497,Haji laloo memon house
142,Hithadhoo,MV,83.75,few clouds,-0.6,73.0833,Scoop Guest House
145,Saint-Philippe,RE,81.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
146,Sabang,ID,84.27,overcast clouds,5.8933,95.3214,Hotel Citra
150,Daru,PG,79.74,overcast clouds,-9.0763,143.2092,Daru Lodge
151,Praya,CV,78.8,scattered clouds,14.9215,-23.5087,LT Aparthotel
159,Zambezi,ZM,83.97,broken clouds,-13.5432,23.1047,Royal Kutachika Lodge
162,Sao Felix Do Xingu,BR,82.22,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
163,Sampit,ID,77.22,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
164,Marang,MY,80.6,scattered clouds,5.2056,103.2059,DBarakah Homestay
165,Tagusao,PH,80.28,few clouds,9.1924,117.8141,Toledo
167,Kokoda,PG,73.67,overcast clouds,-8.8785,147.7407,Daito Guest House
169,Sabzevar,IR,89.6,scattered clouds,36.2126,57.6819,پزشکی قانونی سبزوار
171,Kalabo,ZM,84.22,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
176,El Tigre,VE,80.47,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
177,Lashio,MM,84.94,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
178,Port-Gentil,GA,87.8,scattered clouds,-0.7193,8.7815,Fengshui Residence
180,Sibolga,ID,78.85,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
185,Kahului,US,71.6,broken clouds,20.8947,-156.47,Maui Seaside Hotel
186,Roebourne,AU,79.77,light rain,-20.7833,117.1333,Harding River Caravan Park
187,Kavaratti,IN,84.81,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
188,Carnarvon,AU,71.6,clear sky,-24.8667,113.6333,Hospitality Carnarvon
202,Hobyo,SO,86.59,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
203,Sao Tome,ST,87.8,few clouds,0.3365,6.7273,Pestana Miramar São Tomé
204,Saint-Francois,FR,73.99,clear sky,46.4154,3.9054,Manoir Du Bonheur
206,Oranjestad,AW,84.0,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
208,Pentecoste,BR,82.99,overcast clouds,-3.7928,-39.2703,Motel Big love
209,Faanui,PF,80.4,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
216,Faya,SA,75.2,light rain,18.3851,42.4509,مقبرة ال مجمل
218,Khuzdar,PK,89.83,overcast clouds,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
221,Cayenne,GF,82.99,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
222,Marica,BR,82.4,few clouds,-22.9194,-42.8186,Marica Hills
225,Samana,DO,80.6,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
233,Touros,BR,84.2,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
235,Narasapur,IN,83.08,clear sky,16.45,81.6667,TCI Xps
237,Miracema Do Tocantins,BR,76.57,moderate rain,-9.5618,-48.3967,Miami Apart Hotel
239,Angoche,MZ,79.56,light rain,-16.2325,39.9086,Guest House HESADA
240,Namatanai,PG,80.42,broken clouds,-3.6667,152.4333,Namatanai Hotel
244,Bubaque,GW,77.99,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
246,Araceli,PH,81.09,few clouds,10.5529,119.9913,JBryan Traveler's Inn
249,Siderno,IT,71.6,overcast clouds,38.2779,16.302,Grand Hotel President
250,San-Pedro,CI,83.73,overcast clouds,4.7485,-6.6363,Hotel Maria
252,Sambava,MG,75.87,overcast clouds,-14.2667,50.1667,Melrose
256,Alta Floresta,BR,86.0,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
266,Ejido,VE,74.91,clear sky,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
270,Heilbron,ZA,74.73,clear sky,-27.2812,27.9709,Body Licious
273,Saint-Georges,GD,84.2,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
276,Bathsheba,BB,82.4,broken clouds,13.2167,-59.5167,Atlantis Hotel
279,Buala,SB,80.56,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
280,Kawalu,ID,73.67,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
285,Poum,NC,76.91,overcast clouds,-20.2333,164.0167,Gîte kajeon
286,Samarai,PG,83.12,broken clouds,-10.6167,150.6667,Nuli Sapi
292,Shetpe,KZ,78.22,few clouds,44.1667,52.1167,Rtsm Shetpe Analog
296,Sayyan,YE,71.29,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
302,Kalianget,ID,81.64,scattered clouds,-7.05,113.9333,Pesanggrahan Garam
312,Salinopolis,BR,81.68,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
