City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Ponta Do Sol,32.6667,-17.1,69.8,60,40,5.75,PT,scattered clouds
1,Dunmore Town,25.5,-76.65,78.49,77,11,12.82,BS,few clouds
2,Itaqui,-29.1253,-56.5531,66.24,75,28,13.18,BR,scattered clouds
3,Ovalle,-30.5983,-71.2003,63.63,66,0,1.19,CL,clear sky
4,Albany,42.6001,-73.9662,51.01,82,100,3.38,US,light rain
5,Vitoria,-20.3194,-40.3378,84.0,74,40,3.44,BR,scattered clouds
6,Coahuayana,18.7333,-103.6833,73.4,43,40,2.62,MX,scattered clouds
7,Adeje,28.1227,-16.726,75.2,46,40,14.97,ES,scattered clouds
8,Dikson,73.5069,80.5464,19.13,85,100,10.29,RU,overcast clouds
9,Castro,-24.7911,-50.0119,67.28,65,98,3.83,BR,overcast clouds
10,Saint Anthony,45.0205,-93.218,37.99,75,90,4.97,US,overcast clouds
11,Beringovskiy,63.05,179.3167,31.66,87,100,2.42,RU,overcast clouds
12,Husavik,66.0449,-17.3389,44.6,87,90,2.3,IS,light rain
13,Esperance,-33.8667,121.9,69.8,43,5,8.05,AU,clear sky
14,Bethel,41.3712,-73.414,48.0,95,100,5.08,US,light rain
15,Taltal,-25.4,-70.4833,64.72,74,3,4.14,CL,clear sky
16,Hyeres,43.1167,6.1167,73.0,68,0,13.8,FR,clear sky
17,Alakurtti,66.9672,30.3491,37.0,69,100,13.0,RU,light rain
18,Eirunepe,-6.6603,-69.8736,76.23,93,94,1.45,BR,overcast clouds
19,Ugoofaaru,5.6667,73.0,85.05,68,21,6.17,MV,few clouds
20,Tabou,4.423,-7.3528,85.23,67,100,5.14,CI,light rain
21,Rikitea,-23.1203,-134.9692,77.67,75,62,7.52,PF,broken clouds
22,Longyearbyen,78.2186,15.6401,24.8,74,40,10.36,SJ,scattered clouds
23,Cidreira,-30.1811,-50.2056,67.84,87,100,13.91,BR,overcast clouds
24,East London,-33.0153,27.9116,77.0,50,0,8.05,ZA,clear sky
25,Whitehorse,60.7161,-135.0538,26.6,74,20,2.3,CA,few clouds
26,Bengkulu,-3.8004,102.2655,79.86,80,100,5.66,ID,overcast clouds
27,Itaborai,-22.7444,-42.8594,77.0,78,20,4.61,BR,few clouds
28,Punta Arenas,-53.15,-70.9167,46.4,76,75,12.66,CL,broken clouds
29,Tuktoyaktuk,69.4541,-133.0374,20.95,84,100,14.16,CA,overcast clouds
30,Lorengau,-2.0226,147.2712,80.71,76,100,2.8,PG,overcast clouds
31,Mariental,-24.6333,17.9667,85.6,14,83,7.96,NA,broken clouds
32,Hobart,-42.8794,147.3294,57.2,62,40,14.97,AU,scattered clouds
33,Kavieng,-2.5744,150.7967,82.31,77,99,6.46,PG,overcast clouds
34,La Asuncion,11.0333,-63.8628,78.64,78,61,15.73,VE,broken clouds
35,Upernavik,72.7868,-56.1549,33.67,77,41,6.73,GL,scattered clouds
36,Port Elizabeth,-33.918,25.5701,69.8,60,0,8.05,ZA,clear sky
37,Kondinskoye,59.6481,67.41,52.93,37,100,11.77,RU,overcast clouds
38,Cherskiy,68.75,161.3,3.29,96,97,5.26,RU,overcast clouds
39,Ohafia,5.6167,7.8333,93.97,42,54,4.32,NG,broken clouds
40,Butaritari,3.0707,172.7902,82.26,76,50,10.18,KI,scattered clouds
41,Mataura,-46.1927,168.8643,39.99,83,28,5.99,NZ,scattered clouds
42,Saskylakh,71.9167,114.0833,15.66,89,100,11.7,RU,overcast clouds
43,Nanortalik,60.1432,-45.2371,41.5,76,100,14.58,GL,light rain
44,Malartic,48.1335,-78.1328,35.6,87,90,4.61,CA,moderate rain
45,Qaanaaq,77.484,-69.3632,27.23,73,47,6.04,GL,scattered clouds
46,Bako,5.7833,36.5667,68.85,85,100,1.52,ET,light rain
47,Gasa,31.5,34.4667,86.0,37,3,3.0,PS,clear sky
48,Linjiang,41.8069,126.9078,45.09,35,0,1.16,CN,clear sky
49,Arraial Do Cabo,-22.9661,-42.0278,77.0,78,20,5.75,BR,few clouds
50,Mahebourg,-20.4081,57.7,78.8,78,75,16.11,MU,light rain
51,Puerto Ayora,-0.7393,-90.3518,75.7,87,27,7.9,EC,scattered clouds
52,Doka,13.5167,35.7667,100.42,18,60,6.06,SD,broken clouds
53,Inhambane,-23.865,35.3833,84.2,65,20,13.8,MZ,few clouds
54,Nikolskoye,59.7035,30.7861,41.0,81,90,15.66,RU,overcast clouds
55,Ust-Kulom,61.6864,53.6902,41.14,95,100,10.11,RU,overcast clouds
